TransactionID,CustomerID,Gender,Age,Quantity,Price,PurchaseDate,PaymentMode,TotalAmount,PurchaseMonth,PurchaseDayOfWeek,AgeGroup,City_Bengaluru,City_Chennai,City_Delhi,City_Hyderabad,City_Jaipur,City_Kolkata,City_Lucknow,City_Mumbai,City_Pune,ProductCategory_Books,ProductCategory_Electronics,ProductCategory_Fashion,ProductCategory_Furniture,ProductCategory_Groceries,ProductCategory_Sports
T00001,C2824,0,0.28846153846153855,0.5,0.8936734693877552,2023-03-15,Cash,0.8855331312817075,3,Wednesday,26-40,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
T00002,C1409,2,0.03846153846153849,1.0,0.19408163265306125,2023-01-22,Card,0.7118951991375909,1,Sunday,18-25,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
T00003,C5506,2,0.5576923076923077,0.0,0.0022448979591836726,2023-04-18,Wallet,0.0,4,Tuesday,41-60,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
T00004,C5012,2,0.05769230769230771,1.0,0.5808163265306122,2023-08-09,Cash,0.9025262330672351,8,Wednesday,18-25,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
T00005,C4657,0,0.4423076923076924,0.0,0.616938775510204,2023-09-23,Wallet,0.6156614478043213,9,Saturday,41-60,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
T00006,C3286,1,0.8653846153846155,0.25,0.5424489795918367,2023-05-23,Card,0.7208597619123033,5,Tuesday,60+,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
T00007,C2679,2,0.23076923076923084,1.0,0.1389795918367347,2023-10-22,Card,0.6569845263790292,10,Sunday,26-40,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
T00008,C9935,0,0.326923076923077,1.0,0.9181632653061225,2023-11-12,Cash,0.9849073171716155,11,Sunday,26-40,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
T00009,C2424,0,0.4423076923076924,1.0,0.44142857142857145,2023-06-10,Cash,0.853741890675611,6,Saturday,41-60,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
T00010,C7912,1,1.0,0.0,0.223265306122449,2023-02-20,UPI,0.43790751264781747,2,Monday,60+,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
T00011,C1520,1,0.5576923076923077,1.0,0.6826530612244898,2023-06-27,Card,0.9314683019596465,6,Tuesday,41-60,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
T00012,C1488,0,0.6153846153846154,1.0,0.4928571428571429,2023-05-26,Cash,0.8732700550153573,5,Friday,41-60,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
T00013,C2535,1,0.48076923076923084,0.25,0.5426530612244898,2023-03-26,Wallet,0.7209268057060311,3,Sunday,41-60,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
T00014,C4582,2,0.7692307692307693,0.75,0.09571428571428572,2023-03-02,Cash,0.5571624685259203,3,Thursday,41-60,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
T00015,C4811,0,0.13461538461538464,1.0,0.017346938775510204,2023-05-28,Cash,0.39073415052057026,5,Sunday,18-25,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
T00016,C9279,2,0.826923076923077,0.0,0.5942857142857143,2023-05-21,Wallet,0.6089694699790148,5,Sunday,60+,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
T00017,C1434,0,0.019230769230769273,0.0,0.36653061224489797,2023-09-07,Wallet,0.5233890049307021,9,Thursday,18-25,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
T00018,C4257,2,0.28846153846153855,1.0,0.46755102040816326,2023-08-13,Wallet,0.863918334967113,8,Sunday,26-40,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
T00019,C9928,1,0.4423076923076924,0.25,0.2953061224489796,2023-04-25,Wallet,0.6139363216415482,4,Tuesday,41-60,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
T00020,C7873,1,0.5961538461538463,0.0,0.42795918367346936,2023-03-28,Card,0.5506308705405943,3,Tuesday,41-60,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
T00021,C4611,2,0.730769230769231,0.5,0.026122448979591838,2023-05-28,Cash,0.3349727928236764,5,Sunday,41-60,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
T00022,C8359,0,0.5384615384615385,0.25,0.8983673469387755,2023-05-13,UPI,0.8114869002212973,5,Saturday,41-60,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
T00023,C5557,0,0.21153846153846156,0.25,0.9751020408163266,2023-11-07,Wallet,0.8263227253821853,11,Tuesday,26-40,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
